threshold,recall,precision,f1,fbeta,youden_j
0.05,0.9722222222222222,0.3017241379310345,0.4605263157894737,0.6730769230769231,0.6654040404040404
0.05452261306532664,0.9722222222222222,0.30837004405286345,0.4682274247491639,0.6796116504854369,0.6748737373737375
0.05904522613065327,0.9722222222222222,0.31390134529147984,0.4745762711864407,0.684931506849315,0.6824494949494948
0.0635678391959799,0.9722222222222222,0.3181818181818182,0.4794520547945205,0.6889763779527559,0.6881313131313131
0.06809045226130653,0.9722222222222222,0.3225806451612903,0.4844290657439446,0.693069306930693,0.6938131313131313
0.07261306532663317,0.9722222222222222,0.32710280373831774,0.48951048951048953,0.6972111553784861,0.6994949494949494
0.0771356783919598,0.9722222222222222,0.33175355450236965,0.49469964664310956,0.7014028056112225,0.7051767676767677
0.08165829145728642,0.9722222222222222,0.3349282296650718,0.498220640569395,0.704225352112676,0.7089646464646464
0.08618090452261307,0.9722222222222222,0.33980582524271846,0.5035971223021583,0.708502024291498,0.7146464646464645
0.09070351758793971,0.9722222222222222,0.34146341463414637,0.5054151624548736,0.7099391480730223,0.716540404040404
0.09522613065326634,0.9722222222222222,0.35175879396984927,0.5166051660516605,0.7186858316221766,0.7279040404040404
0.09974874371859296,0.9722222222222222,0.358974358974359,0.5243445692883895,0.7246376811594203,0.735479797979798
0.1042713567839196,0.9722222222222222,0.358974358974359,0.5243445692883895,0.7246376811594203,0.735479797979798
0.10879396984924623,0.9722222222222222,0.36082474226804123,0.5263157894736842,0.7261410788381742,0.7373737373737375
0.11331658291457286,0.9722222222222222,0.36649214659685864,0.532319391634981,0.7306889352818372,0.7430555555555556
0.1178391959798995,0.9722222222222222,0.37037037037037035,0.5363984674329502,0.7337526205450734,0.7468434343434343
0.12236180904522613,0.9722222222222222,0.3723404255319149,0.5384615384615384,0.7352941176470589,0.7487373737373737
0.12688442211055276,0.9722222222222222,0.3783783783783784,0.5447470817120622,0.7399577167019028,0.754419191919192
0.1314070351758794,0.9722222222222222,0.3804347826086957,0.546875,0.7415254237288136,0.7563131313131313
0.135929648241206,0.9722222222222222,0.38461538461538464,0.5511811023622047,0.7446808510638298,0.7601010101010099
0.14045226130653266,0.9722222222222222,0.3867403314917127,0.5533596837944664,0.746268656716418,0.7619949494949494
0.1449748743718593,0.9722222222222222,0.3888888888888889,0.5555555555555556,0.7478632478632479,0.7638888888888888
0.14949748743718594,0.9305555555555556,0.3806818181818182,0.5403225806451613,0.7219827586206896,0.7241161616161618
0.15402010050251258,0.9305555555555556,0.38285714285714284,0.5425101214574899,0.7235421166306696,0.726010101010101
0.1585427135678392,0.9166666666666666,0.3793103448275862,0.5365853658536586,0.7142857142857143,0.7121212121212119
0.1630653266331658,0.9166666666666666,0.38372093023255816,0.5409836065573771,0.717391304347826,0.7159090909090908
0.16758793969849245,0.9166666666666666,0.3905325443786982,0.5477178423236515,0.7221006564551422,0.7215909090909092
0.1721105527638191,0.9166666666666666,0.39520958083832336,0.5523012552301255,0.7252747252747253,0.7253787878787878
0.17663316582914573,0.9166666666666666,0.4,0.5569620253164557,0.7284768211920529,0.7291666666666665
0.18115577889447237,0.9166666666666666,0.4,0.5569620253164557,0.7284768211920529,0.7291666666666665
0.18567839195979902,0.9027777777777778,0.3987730061349693,0.5531914893617021,0.720620842572062,0.7171717171717171
0.1902010050251256,0.9027777777777778,0.41139240506329117,0.5652173913043478,0.7286995515695067,0.7266414141414141
0.19472361809045224,0.9027777777777778,0.4140127388535032,0.5676855895196506,0.7303370786516854,0.7285353535353536
0.19924623115577889,0.9027777777777778,0.4304635761589404,0.5829596412556054,0.7403189066059226,0.7398989898989901
0.20376884422110553,0.9027777777777778,0.4304635761589404,0.5829596412556054,0.7403189066059226,0.7398989898989901
0.20829145728643217,0.9027777777777778,0.4304635761589404,0.5829596412556054,0.7403189066059226,0.7398989898989901
0.2128140703517588,0.9027777777777778,0.43333333333333335,0.5855855855855856,0.7420091324200914,0.7417929292929293
0.2173366834170854,0.9027777777777778,0.43333333333333335,0.5855855855855856,0.7420091324200914,0.7417929292929293
0.22185929648241204,0.9027777777777778,0.436241610738255,0.5882352941176471,0.7437070938215103,0.7436868686868687
0.22638190954773868,0.9027777777777778,0.436241610738255,0.5882352941176471,0.7437070938215103,0.7436868686868687
0.23090452261306532,0.9027777777777778,0.436241610738255,0.5882352941176471,0.7437070938215103,0.7436868686868687
0.23542713567839196,0.9027777777777778,0.4391891891891892,0.5909090909090909,0.7454128440366973,0.745580808080808
0.2399497487437186,0.9027777777777778,0.4391891891891892,0.5909090909090909,0.7454128440366973,0.745580808080808
0.24447236180904525,0.9027777777777778,0.4421768707482993,0.593607305936073,0.7471264367816092,0.7474747474747474
0.24899497487437183,0.9027777777777778,0.4452054794520548,0.5963302752293578,0.7488479262672811,0.7493686868686869
0.2535175879396985,0.9027777777777778,0.4452054794520548,0.5963302752293578,0.7488479262672811,0.7493686868686869
0.2580402010050251,0.9027777777777778,0.45454545454545453,0.6046511627906976,0.7540603248259861,0.7550505050505052
0.26256281407035176,0.9027777777777778,0.45774647887323944,0.6074766355140186,0.7558139534883721,0.7569444444444444
0.2670854271356784,0.9027777777777778,0.45774647887323944,0.6074766355140186,0.7558139534883721,0.7569444444444444
0.27160804020100504,0.9027777777777778,0.4642857142857143,0.6132075471698113,0.7593457943925234,0.7607323232323231
0.2761306532663316,0.9027777777777778,0.4642857142857143,0.6132075471698113,0.7593457943925234,0.7607323232323231
0.28065326633165827,0.8888888888888888,0.460431654676259,0.6066350710900474,0.7494145199063232,0.7468434343434343
0.2851758793969849,0.8888888888888888,0.463768115942029,0.6095238095238096,0.7511737089201878,0.7487373737373737
0.28969849246231155,0.875,0.4666666666666667,0.6086956521739131,0.7446808510638298,0.7386363636363638
0.2942211055276382,0.875,0.4701492537313433,0.6116504854368932,0.7464454976303317,0.740530303030303
0.29874371859296484,0.875,0.4772727272727273,0.6176470588235294,0.75,0.7443181818181817
0.3032663316582914,0.875,0.4772727272727273,0.6176470588235294,0.75,0.7443181818181817
0.30778894472361806,0.875,0.48091603053435117,0.6206896551724138,0.7517899761336515,0.7462121212121211
0.3123115577889447,0.875,0.48091603053435117,0.6206896551724138,0.7517899761336515,0.7462121212121211
0.31683417085427135,0.875,0.48091603053435117,0.6206896551724138,0.7517899761336515,0.7462121212121211
0.321356783919598,0.875,0.4846153846153846,0.6237623762376238,0.7535885167464115,0.7481060606060606
0.3258793969849246,0.875,0.4846153846153846,0.6237623762376238,0.7535885167464115,0.7481060606060606
0.3304020100502512,0.8611111111111112,0.4806201550387597,0.6169154228855721,0.7434052757793765,0.7342171717171717
0.33492462311557786,0.8611111111111112,0.484375,0.62,0.7451923076923077,0.7361111111111112
0.3394472361809045,0.8611111111111112,0.484375,0.62,0.7451923076923077,0.7361111111111112
0.34396984924623114,0.8611111111111112,0.4881889763779528,0.6231155778894473,0.7469879518072289,0.7380050505050506
0.3484924623115578,0.8611111111111112,0.4881889763779528,0.6231155778894473,0.7469879518072289,0.7380050505050506
0.3530150753768844,0.8611111111111112,0.4881889763779528,0.6231155778894473,0.7469879518072289,0.7380050505050506
0.357537688442211,0.8611111111111112,0.4881889763779528,0.6231155778894473,0.7469879518072289,0.7380050505050506
0.36206030150753765,0.8611111111111112,0.49206349206349204,0.6262626262626263,0.748792270531401,0.7398989898989901
0.3665829145728643,0.8611111111111112,0.496,0.6294416243654822,0.7506053268765133,0.7417929292929295
0.37110552763819094,0.8611111111111112,0.5,0.6326530612244898,0.7524271844660194,0.7436868686868687
0.3756281407035176,0.8611111111111112,0.5040650406504065,0.6358974358974359,0.754257907542579,0.7455808080808082
0.3801507537688442,0.8611111111111112,0.5081967213114754,0.6391752577319587,0.7560975609756098,0.7474747474747474
0.3846733668341708,0.8611111111111112,0.5081967213114754,0.6391752577319587,0.7560975609756098,0.7474747474747474
0.38919597989949745,0.8611111111111112,0.5081967213114754,0.6391752577319587,0.7560975609756098,0.7474747474747474
0.3937185929648241,0.8611111111111112,0.512396694214876,0.6424870466321243,0.7579462102689487,0.7493686868686869
0.39824120603015073,0.8611111111111112,0.512396694214876,0.6424870466321243,0.7579462102689487,0.7493686868686869
0.40276381909547737,0.8611111111111112,0.512396694214876,0.6424870466321243,0.7579462102689487,0.7493686868686869
0.407286432160804,0.8611111111111112,0.5166666666666667,0.6458333333333334,0.7598039215686274,0.7512626262626263
0.41180904522613065,0.8611111111111112,0.5210084033613446,0.6492146596858639,0.7616707616707616,0.7531565656565657
0.41633165829145724,0.8611111111111112,0.5210084033613446,0.6492146596858639,0.7616707616707616,0.7531565656565657
0.4208542713567839,0.8611111111111112,0.5254237288135594,0.6526315789473685,0.7635467980295566,0.7550505050505052
0.4253768844221105,0.8611111111111112,0.5254237288135594,0.6526315789473685,0.7635467980295566,0.7550505050505052
0.42989949748743717,0.8611111111111112,0.5299145299145299,0.656084656084656,0.7654320987654321,0.7569444444444446
0.4344221105527638,0.8611111111111112,0.5344827586206896,0.6595744680851063,0.7673267326732673,0.7588383838383839
0.43894472361809045,0.8611111111111112,0.5344827586206896,0.6595744680851063,0.7673267326732673,0.7588383838383839
0.44346733668341703,0.8611111111111112,0.5391304347826087,0.6631016042780749,0.7692307692307693,0.7607323232323233
0.4479899497487437,0.8611111111111112,0.543859649122807,0.6666666666666666,0.7711442786069652,0.7626262626262625
0.4525125628140703,0.8611111111111112,0.5585585585585585,0.6775956284153005,0.7769423558897243,0.7683080808080809
0.45703517587939696,0.8611111111111112,0.5636363636363636,0.6813186813186813,0.7788944723618091,0.7702020202020203
0.4615577889447236,0.8611111111111112,0.5688073394495413,0.6850828729281768,0.7808564231738035,0.7720959595959598
0.46608040201005024,0.8611111111111112,0.5740740740740741,0.6888888888888889,0.7828282828282829,0.773989898989899
